date,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season,no_of_passengers,no_of_adults,no_of_children,total_fare_collected,no_of_full_fare_tickets,no_of_C/P_tickets,no_of_buses,no_of_trips,no_of_MHL_passengers,no_of_city_ordinary_bus,no_of_metro_express_bus,no_of_pallevelug_bus,no_of_other_bus,no_of_metro_delux_bus,no_of_express_bus
2024-07-25,3,0,19,0,304.937875446416,25.7634973187421,22.5936376537841,2,35736,34983,753,209185,8300,27436,47,375,11238,35,12,0,0,0,0
2024-07-26,4,0,20,0,221.470741538376,25.0890302270061,22.5982729867151,2,30201,29980,221,168265,6539,23660,46,307,9716,33,13,0,0,0,0
2024-07-27,5,0,21,2,117.864224606524,27.5611761121878,23.3066431274556,2,36896,36431,465,225930,8799,28097,45,375,11633,33,12,0,0,0,0
2024-07-28,6,0,22,2,38.8559820443553,28.3203963969434,23.3260662216409,2,37664,36973,691,271340,10318,27345,47,410,10229,35,12,0,0,0,0
2024-07-29,0,2,23,2,33.1904737512637,29.0420862717762,24.2517944750932,2,34710,33768,942,254598,9726,24984,48,390,10099,35,13,0,0,0,0
2024-07-30,1,0,24,0,10.6736878294094,30.5222539472638,24.4613036474836,2,43314,42757,557,277680,10779,32535,49,423,13126,36,13,0,0,0,0
2024-07-31,2,0,25,0,90.9837294878177,29.7197668747603,23.8550969225879,2,37587,37315,272,237210,9184,28403,49,407,11983,35,14,0,0,0,0
2024-08-01,3,0,26,0,102.591122673655,28.2556063630506,23.1208188181682,2,37511,36944,567,221375,8659,28852,41,363,11675,32,9,0,0,0,0
2024-08-02,4,0,27,0,186.454089656661,27.7942766800067,23.0958804825588,2,42575,42300,275,233350,9232,33343,46,396,12941,35,11,0,0,0,0
2024-08-03,5,0,28,2,37.3821237209292,28.4015172745419,23.0766094797306,2,34498,33883,615,206780,7942,26556,43,347,10248,30,13,0,0,0,0
2024-08-04,6,0,0,2,61.1013993423333,28.2391405244376,23.5184685213748,2,37672,37206,466,265210,9980,27691,50,424,10796,35,15,0,0,0,0
2024-08-05,0,0,1,0,19.1208430090884,29.6915821966982,23.7931294898746,2,46518,45683,835,294650,11282,35235,54,458,13528,37,17,0,0,0,0
2024-08-06,1,0,2,0,106.871055698453,28.0813599750742,23.1895796998446,2,37736,37379,357,219190,8741,28995,45,377,11654,33,12,0,0,0,0
